deltaTime, eyeDilationMM
0.5230783,4.795471
0.6483892,4.826782
0.7283576,5.029129
0.7808365,4.992142
0.8242674,4.927658
0.8612676,4.961014
0.8995978,5.011841
0.9308016,5.002533
0.9763709,4.847382
1.011394,4.841446
1.047689,4.859879
1.09583,4.766693
1.134115,4.809616
1.170986,4.600372
1.20927,4.716812
1.243778,4.722412
1.730385,4.705566
1.752889,4.619614
1.792337,4.53389
1.830858,4.594711
1.868005,4.724487
1.906918,4.640625
1.947394,4.750092
2.005778,4.846252
2.048127,4.842926
2.097538,4.824905
2.135571,4.65184
2.177106,4.579926
2.218328,4.72229
2.262459,4.679382
2.304542,4.76091
2.347965,4.792587
2.388795,4.688187
2.427825,4.611359
2.466,4.650848
2.515765,4.858154
2.554363,4.868301
2.599022,4.937164
2.640038,4.907745
2.692592,4.990387
2.739024,4.89476
2.788058,4.864563
2.847227,4.983826
2.92267,4.886215
2.97236,4.706772
3.043705,4.517197
3.097072,4.493759
3.152791,4.468185
3.206014,4.500153
3.252733,4.505905
3.318568,4.651672
3.367448,4.621429
3.413408,4.618942
3.454722,4.589294
3.512118,4.594177
3.56267,4.607315
3.610841,4.607941
3.659031,4.619965
3.705551,4.75798
3.759229,4.750153
3.803105,4.668869
3.847313,4.728531
3.889801,4.693344
3.936451,4.709442
3.984813,4.728897
4.032327,4.740524
4.078659,4.722839
4.122651,4.662567
4.166234,4.602997
4.207904,4.576782
4.250745,4.576096
4.292392,4.579117
4.339941,4.404938
4.63958,4.509445
4.705182,4.506821
4.757031,4.453125
4.805441,4.465775
4.851014,4.462524
4.902387,4.397781
4.953358,4.365463
4.999797,4.361786
5.045055,4.269318
5.090177,4.405792
5.133523,4.448914
5.175437,4.48381
5.218209,4.338089
5.263582,4.456863
5.306433,4.524734
5.359837,4.392532
5.402603,4.589478
5.448025,4.494095
5.4916,4.49118
5.535804,4.535583
5.593311,4.580078
5.645399,4.443787
5.708704,4.545578
5.761038,4.592621
5.807122,4.600662
5.859737,4.483521
5.902356,4.543304
5.944318,4.405975
5.989444,4.530502
6.036671,4.564301
6.08309,4.503799
6.12699,4.501633
6.172575,4.451019
6.223694,4.431534
6.273147,4.397614
6.321984,4.380569
6.373688,4.2733
6.420654,4.173431
6.467395,4.149887
6.511858,4.20285
6.563138,4.149963
6.613649,4.256058
6.666725,4.251434
6.713472,4.245651
6.766637,4.104752
6.81609,4.254959
6.860478,4.304749
6.904838,4.119308
6.954216,4.112366
7.003628,4.122894
7.058415,4.208282
7.113567,4.234039
7.170398,4.303818
7.782149,4.582062
7.804612,4.513596
7.824314,4.583557
7.848193,4.516769
7.89179,4.566666
7.938554,4.616043
7.989407,4.680313
8.035616,4.729019
8.083617,4.663544
8.131915,4.755127
