id	age	gender	nationality	familiarity	personalityResponses	preSurveyResponses	timeSpent	fightCnt	punchCnt	avgSpeed	totalDist	collectedItemCnt	totalItemCnt	crowdPersonality	postSurveyResponses
	0	 Male 	 White 	0	 [0,0,0,0,0,0,0,0,0,0]	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	12.3771	0	0	1.69887	21.0319	0	0	0	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
1673307316776	45	 Male 	 White 	NULL	 [0,0,0,0,0,0,0,0,0,0]	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1673382696050	0	 Male 	 White 	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1673382821153	0	 Male 	 White 	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1673382864221	0	 Male 	 White 	0	 [0,0,0,0,0,0,0,0,0,0]	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	22.5153	0	0	1.121	25.2675	0	0	0	NULL
1673396194175	0	 Male 	 White 	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1673469138792	99	 Male 	 White 	-3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1673742771694	50	 Male 	 White 	0	 [0,0,0,0,0,0,0,0,0,0]	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1673776663723	0	 Female 	 White 	2	 [0,0,0,4,6,5,3,5,5,6]	 [2,1,-1,2,1,2,-1,2,1,1,-1,2,1,1,2,1,3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A105M4JOZSR7E6	25	 Female 	 White 	0	 [0,2,3,4,3,3,4,3,4,4]	 [0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A10K4HUTLW7ZT0	0	 Male 	 White 	1	 [5,5,4,5,5,5,4,5,5,5]	 [-2,-1,-1,-1,2,-2,0,1,1,-1,1,-1,1,-1,1,-1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A126FH6VMJDO0F	36	 Female 	 White 	2	 [4,5,6,5,6,6,4,5,5,3]	 [-1,-1,-2,-2,-2,-1,-2,-1,-1,-2,-1,-2,-1,0,-1,-1,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A12KEVAHN5P4WU	29	 Male 	 White 	3	 [4,0,5,5,5,5,4,4,5,5]	 [-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A13MHP3CYCIV7C	28	 Male 	 White 	3	 [5,4,6,3,4,4,5,5,6,6]	 [-3,-1,-2,-1,-3,-1,-1,-3,1,-1,1,-1,-3,-1,-3,-3,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A15ZR3830X5Q12	28	 Female 	 White 	1	 [5,4,5,1,4,3,4,3,4,5]	 [-2,-3,-2,-1,-3,-1,1,-1,-2,-1,-2,-1,-2,-1,-2,1,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A16335MOISDG1F	39	 Male 	 Black 	NULL	 [2,0,4,1,3,3,3,0,5,4]	 [-1,-1,-1,-1,-3,0,0,0,0,0,-2,-1,3,0,0,0,-1]	99.3037	1	37	0.555389	55.1605	0	11	0	 [-2,-1,-3,-1,-3,-1,-2,0,0,0,-3,-1,1,-1,-1,-1,-2]
A1643B90CHCRI	24	 Female 	 White 	1	 [4,2,4,3,4,0,4,4,4,4]	 [-1,-2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-3,-3,-3,-2,-3,-3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A16I8UYY8MG2PG	0	 Male 	 White 	NULL	 [6,6,6,5,6,6,5,6,6,6]	 [-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A16J2CW30USNJI	25	 Male 	 White 	3	 [2,4,2,3,5,5,5,1,5,4]	 [-2,-2,-2,-2,-1,0,-2,-3,-1,-1,-2,-1,-1,-1,-2,-1,-2]	93.2787	1	230	0.751889	70.1502	0	0	0	 [1,1,2,2,1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,1]
A16P5V99HGZ090	44	 Male 	 White 	0	 [0,0,0,0,0,2,0,0,0,4]	 [-2,-2,1,-1,-1,-3,-1,-1,-2,-2,-2,-1,-2,0,-1,0,3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A188F1RA867LVT	48	 Female 	 White 	1	 [0,0,0,0,0,0,4,1,4,1]	 [0,0,0,0,0,0,0,0,0,0,-1,1,2,1,-2,0,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A193SP8INHA4MB	30	 Male 	 White 	NULL	 [1,5,6,1,5,4,4,1,5,0]	 [-3,-3,-1,-3,2,2,3,3,2,2,2,2,0,0,0,-3,0]	76.081	2	109	0.916083	69.7125	0	10	0	 [-3,-3,-3,-3,2,-2,-1,-1,-1,2,1,-3,-1,-1,-1,-3,0]
A199FVNRBPMVWI	47	 Male 	 Black 	NULL	 [5,5,4,4,5,3,3,4,5,5]	 [-3,-2,-3,0,-2,-2,0,-2,-2,-2,-1,0,0,-2,-2,-2,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A1AKZX4CTBIQT6	25	 Female 	 White 	2	 [5,2,5,1,5,6,5,1,5,4]	 [-2,-3,-2,-2,-3,-2,-2,-3,-2,1,1,-1,-1,1,2,-1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
