id,age,gender,nationality,familiarity,personalityResponses,preSurveyResponses,timeSpent,fightCnt,punchCnt,avgSpeed,totalDist,collectedItemCnt,totalItemCnt,crowdPersonality,postSurveyResponses
,0, Male , White ,0," [0,0,0,0,0,0,0,0,0,0]"," [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",12.3771,0,0,1.69887,21.0319,0,0,0," [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
A16335MOISDG1F,39, Male , Black ,," [2,0,4,1,3,3,3,0,5,4]"," [-1,-1,-1,-1,-3,0,0,0,0,0,-2,-1,3,0,0,0,-1]",99.3037,1,37,0.555389,55.1605,0,11,0," [-2,-1,-3,-1,-3,-1,-2,0,0,0,-3,-1,1,-1,-1,-1,-2]"
A16J2CW30USNJI,25, Male , White ,3," [2,4,2,3,5,5,5,1,5,4]"," [-2,-2,-2,-2,-1,0,-2,-3,-1,-1,-2,-1,-1,-1,-2,-1,-2]",93.2787,1,230,0.751889,70.1502,0,0,0," [1,1,2,2,1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,1]"
A193SP8INHA4MB,30, Male , White ,," [1,5,6,1,5,4,4,1,5,0]"," [-3,-3,-1,-3,2,2,3,3,2,2,2,2,0,0,0,-3,0]",76.081,2,109,0.916083,69.7125,0,10,0," [-3,-3,-3,-3,2,-2,-1,-1,-1,2,1,-3,-1,-1,-1,-3,0]"
A1BM57TUNAQIXM,38, Female , Asian ,2," [1,5,5,4,4,3,4,1,5,1]"," [0,-1,-1,-1,0,0,0,2,1,1,0,1,1,0,0,0,0]",138.356,4,106,0.613174,84.8371,0,15,0," [0,-1,-2,-2,0,-1,-2,0,0,0,-2,0,0,0,0,-1,-1]"
A1H5Q9HRH4RPZU,40, Male , White ,3," [1,4,5,2,5,6,2,1,4,4]"," [-1,-1,-2,-2,0,1,2,2,1,-1,-1,-2,-1,0,-1,-1,-2]",262.323,5,838,1.01973,267.509,0,10,0," [-1,0,1,1,0,2,1,-1,-1,-2,-1,-2,0,1,-1,0,1]"
A1NZRYBCI8UMV7,26, Male , White ,2," [3,3,2,1,2,3,3,5,4,2]"," [1,1,1,-1,1,1,-1,1,1,-2,-2,-1,-1,-1,-1,-1,-2]",104.659,4,221,1.0948,114.602,5,0,0," [2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2]"
A1PHDT66U6IK4Q,69, Male , White ,2," [6,1,6,0,6,1,6,0,6,0]"," [-3,-3,-2,-3,-3,-2,-3,-3,-3,3,3,3,-2,-2,-3,-2,-3]",297.724,0,0,0.438114,130.441,0,0,0," [-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3]"
A2D74QPANDB2I7,36, Male , White ,3," [3,0,3,2,3,1,5,5,5,1]"," [-2,-2,-2,-1,-2,-1,1,1,0,0,-1,0,-1,0,0,0,-2]",75.0203,3,163,0.760407,57.0603,0,21,0," [-1,-2,-2,-1,-2,-2,-2,-1,0,0,-2,0,0,0,0,0,-2]"
A2J1ANUL0BYKUK,34, Male , White ,2," [5,0,5,0,4,4,5,0,5,3]"," [-2,-2,-3,-3,-1,-1,-1,0,0,1,1,0,0,0,-1,0,1]",131.964,3,350,0.988315,130.415,0,3,0," [-1,-2,-2,-2,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,1]"
